text,label
"Waste of money, very broken",0
Totally disappointing and disappointing,0
"Loved it, amazing quality",1
"Great purchase, very wonderful",1
"Waste of money, very broken",0
I am very happy with this awesome product,1
Completely horrible quality,0
"Loved it, excellent quality",1
"Highly recommend, very outstanding",1
This product is amazing,1
Extremely perfect and useful,1
"Worth every penny, outstanding item",1
"Waste of money, very terrible",0
Completely disappointing quality,0
This product is bad,0
Very bad experience,0
This product is amazing,1
Absolutely awesome experience,1
Completely terrible quality,0
"Great purchase, very perfect",1
This product is cheap,0
Extremely awful product,0
Extremely fantastic and useful,1
"Loved it, wonderful quality",1
"I regret buying this, very horrible",0
Totally worst and disappointing,0
This product is outstanding,1
"Waste of money, very horrible",0
Very disappointing experience,0
Very useless experience,0
Completely broken quality,0
I am very happy with this impressive product,1
"Loved it, amazing quality",1
This product is terrible,0
"I regret buying this, very bad",0
I am very happy with this amazing product,1
"I regret buying this, very cheap",0
"Worth every penny, awesome item",1
Very useless experience,0
"Highly recommend, very amazing",1
Totally cheap and disappointing,0
Very bad experience,0
I am very happy with this outstanding product,1
This product is impressive,1
"I regret buying this, very terrible",0
I am very happy with this great product,1
"I regret buying this, very cheap",0
Very awful experience,0
This product is cheap,0
This product is awful,0
"Worst purchase, cheap quality",0
"Loved it, amazing quality",1
"Worth every penny, outstanding item",1
This product is superb,1
"Worth every penny, outstanding item",1
"Worst purchase, disappointing quality",0
Totally cheap and disappointing,0
This product is awful,0
"Worth every penny, awesome item",1
"Worth every penny, excellent item",1
Absolutely wonderful experience,1
This product is wonderful,1
Absolutely fantastic experience,1
Absolutely fantastic experience,1
"I regret buying this, very cheap",0
"Worth every penny, awesome item",1
"Loved it, fantastic quality",1
"Worst purchase, bad quality",0
This product is disappointing,0
"Waste of money, very poor",0
"Loved it, superb quality",1
"Great purchase, very outstanding",1
"Loved it, perfect quality",1
"Great purchase, very amazing",1
Very disappointing experience,0
"I regret buying this, very cheap",0
Extremely worst product,0
"Loved it, impressive quality",1
I am very happy with this excellent product,1
Extremely superb and useful,1
"Highly recommend, very awesome",1
"I regret buying this, very bad",0
I am very happy with this fantastic product,1
Completely useless quality,0
"Loved it, outstanding quality",1
Extremely broken product,0
I am very happy with this wonderful product,1
Absolutely awesome experience,1
Absolutely wonderful experience,1
I am very happy with this excellent product,1
"Highly recommend, very great",1
"Highly recommend, very perfect",1
"Worst purchase, poor quality",0
"Great purchase, very fantastic",1
Completely useless quality,0
This product is wonderful,1
Very horrible experience,0
"Loved it, wonderful quality",1
I am very happy with this impressive product,1
"Great purchase, very perfect",1
Very bad experience,0
Extremely poor product,0
I am very happy with this great product,1
Totally terrible and disappointing,0
"I regret buying this, very horrible",0
Completely useless quality,0
"Worst purchase, bad quality",0
I am very happy with this perfect product,1
Absolutely excellent experience,1
"Waste of money, very disappointing",0
"Great purchase, very wonderful",1
Absolutely excellent experience,1
Totally cheap and disappointing,0
"I regret buying this, very cheap",0
Extremely great and useful,1
Very horrible experience,0
"Great purchase, very outstanding",1
"Highly recommend, very excellent",1
Extremely useless product,0
Absolutely awesome experience,1
This product is awful,0
This product is impressive,1
Completely broken quality,0
I am very happy with this outstanding product,1
This product is cheap,0
I am very happy with this excellent product,1
"Loved it, fantastic quality",1
"Worth every penny, outstanding item",1
Extremely broken product,0
"Worth every penny, impressive item",1
This product is bad,0
Extremely wonderful and useful,1
"Worth every penny, superb item",1
"Great purchase, very amazing",1
"I regret buying this, very horrible",0
Absolutely excellent experience,1
This product is great,1
"Worth every penny, fantastic item",1
Very useless experience,0
"Highly recommend, very wonderful",1
"Worst purchase, useless quality",0
Totally useless and disappointing,0
Totally terrible and disappointing,0
Completely terrible quality,0
"I regret buying this, very terrible",0
Extremely poor product,0
Totally awful and disappointing,0
Very horrible experience,0
This product is impressive,1
"I regret buying this, very horrible",0
Very awful experience,0
Extremely broken product,0
"Worst purchase, bad quality",0
Totally poor and disappointing,0
"Worth every penny, outstanding item",1
Completely worst quality,0
"Worst purchase, disappointing quality",0
"Great purchase, very awesome",1
"Loved it, wonderful quality",1
"Great purchase, very awesome",1
"Waste of money, very cheap",0
Very horrible experience,0
"I regret buying this, very poor",0
"Waste of money, very horrible",0
"Loved it, great quality",1
"Great purchase, very wonderful",1
Extremely amazing and useful,1
Totally worst and disappointing,0
"Loved it, excellent quality",1
"Great purchase, very awesome",1
I am very happy with this impressive product,1
This product is worst,0
This product is superb,1
"Worst purchase, awful quality",0
Extremely broken product,0
I am very happy with this wonderful product,1
Completely bad quality,0
This product is amazing,1
Extremely horrible product,0
This product is poor,0
Completely bad quality,0
"Highly recommend, very awesome",1
"Great purchase, very excellent",1
This product is poor,0
"Loved it, wonderful quality",1
Extremely excellent and useful,1
"Worth every penny, amazing item",1
This product is awful,0
I am very happy with this amazing product,1
"Worth every penny, amazing item",1
"I regret buying this, very cheap",0
Extremely useless product,0
"Waste of money, very bad",0
Completely awful quality,0
This product is disappointing,0
Absolutely impressive experience,1
Absolutely wonderful experience,1
Very broken experience,0
"Highly recommend, very awesome",1
Absolutely wonderful experience,1
Extremely terrible product,0
Extremely poor product,0
Absolutely impressive experience,1
"Worth every penny, amazing item",1
Completely cheap quality,0
"Loved it, impressive quality",1
I am very happy with this impressive product,1
Very useless experience,0
Extremely awesome and useful,1
"Highly recommend, very perfect",1
Very terrible experience,0
"Waste of money, very awful",0
This product is broken,0
This product is amazing,1
"Worst purchase, cheap quality",0
"Highly recommend, very wonderful",1
"Great purchase, very great",1
"Worth every penny, impressive item",1
Totally disappointing and disappointing,0
Extremely horrible product,0
This product is amazing,1
"Highly recommend, very great",1
This product is worst,0
"I regret buying this, very awful",0
This product is great,1
This product is great,1
"Waste of money, very useless",0
Absolutely outstanding experience,1
"Great purchase, very amazing",1
"Waste of money, very cheap",0
Extremely cheap product,0
"Highly recommend, very wonderful",1
"Highly recommend, very fantastic",1
"Great purchase, very awesome",1
Very awful experience,0
"Great purchase, very amazing",1
"Loved it, awesome quality",1
Extremely impressive and useful,1
Totally cheap and disappointing,0
This product is cheap,0
Absolutely fantastic experience,1
I am very happy with this fantastic product,1
"I regret buying this, very poor",0
"Great purchase, very outstanding",1
"Worst purchase, cheap quality",0
This product is excellent,1
"Highly recommend, very perfect",1
"I regret buying this, very cheap",0
This product is perfect,1
"Great purchase, very perfect",1
"Highly recommend, very awesome",1
Absolutely excellent experience,1
Extremely wonderful and useful,1
"Waste of money, very awful",0
This product is fantastic,1
Extremely superb and useful,1
Very bad experience,0
"Waste of money, very horrible",0
Very useless experience,0
This product is superb,1
"Worst purchase, horrible quality",0
This product is cheap,0
I am very happy with this amazing product,1
Completely useless quality,0
"Loved it, amazing quality",1
"Loved it, great quality",1
This product is disappointing,0
"Waste of money, very disappointing",0
I am very happy with this wonderful product,1
I am very happy with this great product,1
This product is excellent,1
"Great purchase, very outstanding",1
This product is fantastic,1
Very awful experience,0
This product is cheap,0
Very terrible experience,0
"Loved it, excellent quality",1
"I regret buying this, very terrible",0
"Great purchase, very great",1
"Waste of money, very poor",0
This product is excellent,1
Completely bad quality,0
Absolutely impressive experience,1
I am very happy with this perfect product,1
Absolutely wonderful experience,1
"Loved it, excellent quality",1
Completely poor quality,0
"I regret buying this, very broken",0
"Worth every penny, great item",1
"Worst purchase, poor quality",0
"Worst purchase, horrible quality",0
Totally awful and disappointing,0
"Worth every penny, awesome item",1
Totally disappointing and disappointing,0
"Waste of money, very cheap",0
"Great purchase, very excellent",1
Very horrible experience,0
"I regret buying this, very bad",0
"Worst purchase, bad quality",0
Extremely worst product,0
"Loved it, awesome quality",1
"Worth every penny, wonderful item",1
"Waste of money, very broken",0
Very cheap experience,0
Extremely poor product,0
Extremely great and useful,1
"Highly recommend, very amazing",1
"Great purchase, very perfect",1
"Highly recommend, very fantastic",1
"Waste of money, very cheap",0
Completely disappointing quality,0
"Highly recommend, very amazing",1
"I regret buying this, very broken",0
Extremely fantastic and useful,1
This product is useless,0
Very poor experience,0
"Worth every penny, wonderful item",1
"Great purchase, very fantastic",1
I am very happy with this excellent product,1
"Waste of money, very useless",0
Extremely cheap product,0
This product is broken,0
Extremely broken product,0
Absolutely impressive experience,1
"Highly recommend, very perfect",1
"Highly recommend, very perfect",1
Extremely awful product,0
I am very happy with this outstanding product,1
This product is worst,0
"Loved it, excellent quality",1
"Waste of money, very poor",0
"Waste of money, very disappointing",0
This product is outstanding,1
Completely poor quality,0
"Great purchase, very awesome",1
"I regret buying this, very bad",0
Extremely outstanding and useful,1
"I regret buying this, very horrible",0
"Great purchase, very perfect",1
Extremely fantastic and useful,1
"Loved it, fantastic quality",1
Completely broken quality,0
I am very happy with this superb product,1
"Highly recommend, very wonderful",1
"Great purchase, very outstanding",1
"Worst purchase, horrible quality",0
Very awful experience,0
"I regret buying this, very broken",0
Extremely terrible product,0
"Worth every penny, impressive item",1
"Loved it, wonderful quality",1
Extremely perfect and useful,1
Absolutely fantastic experience,1
I am very happy with this amazing product,1
"I regret buying this, very poor",0
"Waste of money, very horrible",0
Very horrible experience,0
"Highly recommend, very impressive",1
"I regret buying this, very broken",0
This product is disappointing,0
"Great purchase, very fantastic",1
Totally poor and disappointing,0
Totally worst and disappointing,0
"Great purchase, very superb",1
This product is poor,0
"Great purchase, very superb",1
Completely bad quality,0
Extremely disappointing product,0
Completely worst quality,0
"Highly recommend, very awesome",1
Very worst experience,0
"Worst purchase, broken quality",0
I am very happy with this impressive product,1
"Loved it, superb quality",1
Absolutely impressive experience,1
This product is poor,0
"Worst purchase, horrible quality",0
"Worst purchase, broken quality",0
"Waste of money, very bad",0
"Loved it, great quality",1
"Loved it, awesome quality",1
"Loved it, superb quality",1
This product is horrible,0
I am very happy with this outstanding product,1
I am very happy with this impressive product,1
"Great purchase, very impressive",1
Completely cheap quality,0
"Loved it, fantastic quality",1
"Waste of money, very horrible",0
"I regret buying this, very worst",0
"Waste of money, very worst",0
"Great purchase, very superb",1
Totally broken and disappointing,0
"Loved it, perfect quality",1
"Waste of money, very useless",0
Extremely wonderful and useful,1
Very bad experience,0
Extremely horrible product,0
"Great purchase, very great",1
"I regret buying this, very awful",0
"Highly recommend, very wonderful",1
"Great purchase, very perfect",1
"I regret buying this, very broken",0
"Worth every penny, impressive item",1
"Loved it, perfect quality",1
"Waste of money, very horrible",0
"Worth every penny, impressive item",1
Totally broken and disappointing,0
"Loved it, perfect quality",1
"Worth every penny, great item",1
Completely poor quality,0
Very worst experience,0
Completely useless quality,0
I am very happy with this impressive product,1
"Highly recommend, very amazing",1
This product is bad,0
"Loved it, perfect quality",1
"Worst purchase, useless quality",0
"Great purchase, very impressive",1
